word,frequency
Alcaeus,2.34e-07
Alcaic,0.0
Alcan Highway,1.4700000000000001e-08
Alcatraz,6.17e-06
Alceste,5.37e-07
Alcestis,3.55e-07
Alcibiades,1.5800000000000001e-06
Alcides,1.29e-06
Alcmene,3.89e-07
Alcoholics Anonymous,1.37e-07
Alcoran,0.0
Alcott,3.89e-06
Alcuin,8.91e-07
Alcyone,3.89e-07
Ald.,4.79e-06
Aldan,3.24e-07
Aldebaran,1.02e-06
Alderney,1.35e-06
Aldershot,5.25e-06
Aldine,1.4499999999999999e-06
Aldus Manutius,2.0800000000000003e-09
Alecto,6.03e-07
Aleksandropol,0.0
Aleksandrovsk,0.0
Alemanni,2.04e-07
Alemannic,1.74e-07
Aleppo,3.63e-05
Aleppo gall,1.29e-07
Alessandria,3.98e-07
Aleut,9.119999999999999e-07
Aleutian,3.1600000000000002e-06
Aleutian Islands,3.13e-08
Alexander,0.00025100000000000003
Alexander Archipelago,1.9700000000000003e-07
Alexander I,2.51e-06
Alexander I Island,2.0100000000000002e-06
Alexander II,2.03e-06
Alexander III,1.5800000000000001e-06
Alexander Nevski,2.24e-09
Alexander VI,8.260000000000001e-07
Alexander the Great,2.4300000000000005e-06
Alexandra,3.3900000000000004e-05
Alexandretta,4.57e-07
Alexandria,5.89e-05
Alexandrian,2.6899999999999997e-06
Alexandrine,8.51e-07
Alexis Mikhailovich,7.830000000000001e-09
Alfieri,9.33e-07
Alfonso XIII,9.91e-08
Alfred the Great,9.65e-07
Alg.,2.2399999999999997e-06
Algeciras,8.51e-07
Alger,4.17e-06
Algeria,4.17e-05
Algerian,1.82e-05
Algiers,1.05e-05
Algol,1.1199999999999999e-06
Algonkian,2.69e-07
Algonquian,9.77e-07
Algonquin,4.5699999999999994e-06
Algonquin Park,4.5600000000000005e-08
Alhambra,5.5e-06
Ali,0.00020400000000000003
Ali Baba,3.2100000000000003e-07
Ali Pasha,1.29e-07
Alicante,4.27e-06
Alice blue,1.6e-06
Aligarh,2e-06
Alkmaar,1.1199999999999999e-06
Alkoran,0.0
All Fools' Day,7.5e-07
All Saints' Day,1.42e-06
All Souls' Day,1.59e-06
Allah,7.76e-05
Allahabad,6.03e-06
Allan-a-Dale,3.8e-07
Allegheny Mountains,1.18e-07
Allen,0.00024
Allen wrench,2.1399999999999998e-07
Allenby,3.24e-06
Allentown,6.92e-06
Allhallowmas,0.0
Allhallows,2.0899999999999998e-07
Allhallowtide,0.0
Allier,5.250000000000001e-07
Alloway,1.0500000000000001e-06
Alma-Ata,8.470000000000001e-08
Alma-Tadema,4.62e-09
Almagest,3.39e-07
Almanach de Gotha,2.31e-09
Alnico,4.9e-07
Alost,0.0
Alpha,0.000178
Alpha Centauri,4.87e-08
Alpheus,8.51e-07
Alphonsus,9.55e-07
Alpine,4.17e-05
Alps,3.63e-05
Alsace,5.8899999999999995e-06
Alsace-Lorraine,4.89e-08
Alsatia,1.35e-07
Alsatian,2.04e-06
Alta.,1.32e-05
Altai Mountains,2.12e-08
Altaic,6.459999999999999e-07
Altair,3.0899999999999996e-06
Altamira,1.51e-06
Altdorf,3.1599999999999997e-07
Altdorfer,0.0
Althing,2.1900000000000002e-07
Altona,2.9499999999999997e-06
Alundum,0.0
Alva,5.37e-06
Alzheimer's disease,4.3200000000000006e-07
Am,0.006030000000000001
Am.,0.006030000000000001
Amagasaki,1.5799999999999999e-07
Amalekite,1.41e-07
Amarillo,7.41e-06
Amaryllis,1.38e-06
Amati,6.61e-07
Amazon,0.000355
Amazonas,1.66e-06
Ambala,1.29e-06
Amboina,1.86e-07
Amboise,8.129999999999999e-07
Ambrose,2.9500000000000002e-05
Ambrosian chant,4.52e-09
Amen,8.51e-05
Amen-Ra,4.1099999999999996e-07
Amenhotep III,9.98e-09
Amenhotep IV,9.960000000000001e-09
Amer.,1.07e-05
America,0.00166
America's Cup,1.3800000000000001e-06
American,0.00309
American Beauty,4.76e-06
American Expeditionary Forces,7.51e-08
American Indian,6.439999999999999e-06
American Revised Version,1.19e-06
American Revolution,3.25e-06
American Samoa,2.44e-07
American Standard Version,4.74e-06
American Stock Exchange,3.4400000000000005e-06
American aloe,1.1400000000000001e-07
American chameleon,1.2500000000000002e-07
American cheese,3.3200000000000004e-06
American cloth,1.04e-06
American eagle,1.2900000000000001e-06
American plan,1.2e-05
American saddle horse,4.84e-07
American trypanosomiasis,6.310000000000001e-09
American water spaniel,6.580000000000001e-08
Americana,1.62e-05
Americanism,3.63e-06
Americanist,5.009999999999999e-07
Americanize,4.79e-07
Americano,4.47e-06
Amerigo Vespucci,5.47e-09
Amerind,2.04e-07
Amersfoort,5.13e-07
Amhara,1.2e-06
Amharic,1.66e-06
Amherst,1.74e-05
Amiens,3.4700000000000002e-06
Amis,7.41e-06
Amish,1.8599999999999998e-05
Amman,1.2e-05
Ammon,2.88e-06
Amon,8.13e-06
Amor,1.45e-05
Amos,3.02e-05
Amoy,1.15e-06
Amphitrite,3.8e-07
Amphitryon,5.009999999999999e-07
Amritsar,5.5e-06
Amsterdam,0.000107
Amu Darya,1.2300000000000001e-08
Amundsen,2.4e-06
Amur,3.02e-06
Amytal,3.63e-07
An,0.0339
Anabaptist,1.23e-06
Anacreon,4.68e-07
Anacreontic,1.74e-07
Anaheim,2.88e-05
Anam,8.71e-07
Ananias,1.38e-06
Anastasia,1.62e-05
Anatolia,5.8899999999999995e-06
Anatolian,2.9499999999999997e-06
Anatolic,0.0
Anaxagoras,4.68e-07
Anaximander,4.47e-07
Anaximenes,2.1900000000000002e-07
Anchises,3.39e-07
Anchorage,2.63e-05
Ancient of Days,4.28e-06
Ancohuma,0.0
Ancona,2.51e-06
Andalusia,4.3700000000000005e-06
Andaman,5.5e-06
Andaman Islands,5.400000000000001e-08
Andaman Sea,5.470000000000001e-08
Andean,8.13e-06
Anderlecht,3.63e-06
Andersen,1.8599999999999998e-05
Anderson,0.000229
Andes,1.38e-05
Andhra Pradesh,1.1599999999999999e-07
Andizhan,0.0
Andorra,4.9e-06
Andrea del Sarto,9.18e-09
Andreanof Islands,0.0
Andrew,0.00037200000000000004
Andrewes,7.41e-07
Andrews,8.51e-05
Androcles,3.39e-07
Andromache,7.41e-07
Andromeda,1.51e-05
Andros,5.13e-06
Andvari,0.0
Aneto,0.0
Angara,8.91e-07
Angarsk,0.0
Angeleno,5.13e-07
Angelico,1.35e-06
Angell,3.63e-06
Angelus,3.89e-06
Angers,8.13e-06
Angevin,6.459999999999999e-07
Angkor,4.79e-06
Angl.,2.24e-07
Anglesey,7.94e-06
Anglia,1.15e-05
Anglian,3.0899999999999996e-06
Anglican,2.29e-05
Anglican Church,2.26e-07
Anglicanism,1.4499999999999999e-06
Anglice,0.0
Anglicism,1.38e-07
Anglicist,0.0
Anglicize,1.41e-07
Anglo-,6.46e-07
Anglo-American,6.32e-07
Anglo-Catholic,5.46e-07
Anglo-French,6.13e-07
Anglo-Indian,5.98e-07
Anglo-Irish,5.44e-07
Anglo-Norman,4.4e-07
Anglo-Saxon,2.39e-07
Anglomania,1.17e-07
Anglophile,8.91e-07
Anglophobe,0.0
Anglophobia,2.0899999999999998e-07
Angola,2.1900000000000004e-05
Angora,3.89e-06
Angora cat,3.87e-08
Angora goat,3.7500000000000005e-08
Angora rabbit,3.76e-08
Angra Mainyu,2.2300000000000004e-09
Angra do Heroismo,0.0
Anguilla,3.72e-06
Angus,4.2699999999999994e-05
Angus Og,2.35e-07
Anhalt,1.1e-06
Anhwei,0.0
Anjou,3.72e-06
Ankara,2.29e-05
Anking,0.0
Ann Arbor,2.72e-07
Anna,0.000234
Annam,7.939999999999999e-07
Annamese,1.4500000000000001e-07
Annapolis,1.7e-05
Annapolis Royal,1.66e-07
Annapurna,3.39e-06
Anne,0.00020899999999999998
Anne Boleyn,4.47e-08
Anne of Austria,7.520000000000001e-07
Anne of Bohemia,1.11e-07
Anne of Cleves,1.5e-08
Annecy,1.86e-06
Anschauung,0.0
Anschluss,1.41e-06
Anselm,4.3700000000000005e-06
Ansermet,1.2e-07
Antabuse,5.009999999999999e-07
Antaeus,5.13e-07
Antakiya,0.0
Antalya,3.8e-06
Antananarivo,1.23e-06
Antarctic,3.63e-05
Antarctic Circle,3.29e-07
Antarctic Ocean,3.3900000000000006e-07
Antarctic Peninsula,2.71e-07
Antarctic Zone,3.4000000000000003e-07
Antarctica,3.3900000000000004e-05
Antares,3.02e-06
Anthony,0.000257
Anthony of Padua,5.630000000000001e-08
Anti-Lebanon,9.300000000000001e-07
Antibes,1.82e-06
Antichrist,1.1200000000000001e-05
Anticosti,3.8e-07
Antietam,2.09e-06
Antifederalist,0.0
Antigone,3.24e-06
Antigonus I,1.15e-08
Antigua,1.2e-05
Antilles,5.6199999999999996e-06
Antioch,1.15e-05
Antiochus III,2.86e-08
Antiochus IV,2.8500000000000004e-08
Antipater,8.32e-07
Antipodes,1.5800000000000001e-06
Antisana,0.0
Antisthenes,2e-07
Antlia,0.0
Antofagasta,1.86e-06
Antoinette,9.55e-06
Antoninus,2.04e-06
Antoninus Pius,1.71e-08
Antonius,2.45e-06
Antony,2.4e-05
Antony and Cleopatra,9.280000000000001e-08
Antrim,1.1200000000000001e-05
Antung,0.0
Antwerp,1.5799999999999998e-05
Anu,8.910000000000001e-06
Anubis,5.01e-06
Anuradhapura,6.61e-07
Anvers,4.07e-07
Anzac,1.1e-05
Anzio,1.48e-06
Aorangi,1.4500000000000001e-07
Apache,3.4699999999999996e-05
Aparri,1.38e-07
Apeldoorn,5.250000000000001e-07
Apelles,4.1700000000000004e-07
Apennines,1.2599999999999998e-06
Aphrodite,8.13e-06
Apia,1.62e-06
Apis,1.26e-05
Apo,7.41e-06
Apoc.,1.23e-06
Apocalypse,5.13e-05
Apocrypha,3.02e-06
Apollinaire,9.33e-07
Apollo,6.610000000000001e-05
Apollo Belvedere,5.64e-08
Apollonian,6.17e-07
Apollonius,1.6999999999999998e-06
Apollyon,5.37e-07
Apostles' Creed,1.86e-07
Apostolic Fathers,1.4300000000000002e-07
Apostolic See,1.62e-07
Appalachia,5.8899999999999995e-06
Appalachian,1.78e-05
Appalachian Mountains,1.6800000000000002e-07
Appaloosa,8.51e-07
Appenzell,5.62e-07
Appian Way,1.51e-08
Appleton,1.32e-05
Appleton layer,1.2500000000000002e-07
Appomattox,2.34e-06
Apr.,0.00010499999999999999
April,0.00155
April fool,1.7300000000000002e-06
Apuleius,5.75e-07
Apulia,1.1199999999999999e-06
Apure,1.8200000000000002e-07
Apus,1.38e-06
Aqaba,2.75e-06
Aquarius,1.15e-05
Aquila,6.03e-06
Aquileia,5.37e-07
Aquinas,1.05e-05
Aquitaine,2.6300000000000002e-06
Ar,0.000115
Ar Rimal,1.05e-09
Ar.,0.000115
Ara,1.62e-05
Arab,0.000245
Arab League,2.08e-06
Arab.,0.000245
Arabia,0.000132
Arabia Deserta,1.78e-09
Arabian,3.3900000000000004e-05
Arabian Desert,2.99e-07
Arabian Sea,3.29e-07
Arabian camel,1.91e-07
Arabic,0.000107
Arabic numerals,9.74e-08
Arabist,7.24e-07
Araby,1.0700000000000001e-06
Arachne,8.71e-07
Arad,1.5800000000000001e-06
Arafura Sea,2.7500000000000002e-09
Aragats,0.0
Aragon,8.13e-06
Aral Sea,2.45e-08
Aram,8.32e-06
Aramaic,7.08e-06
Aranyaka,1.02e-07
Arapaho,1.51e-06
Ararat,3.0899999999999996e-06
Aras,1.38e-06
Araucania,2.0899999999999998e-07
Araucanian,1.23e-07
Arawak,6.61e-07
Arawakan,1.38e-07
Arawn,1.26e-07
Araxes,1.78e-07
Arbela,2.34e-07
Arbil,4.27e-07
Arbuthnot,2.34e-06
Arcadia,1.2e-05
Arcadian,2e-06
Arch.,0.00010499999999999999
Archaean,4.27e-07
Archaeozoic,0.0
Archangel,9.55e-06
Archean,1.0500000000000001e-06
Archeozoic,0.0
Archer,6.46e-05
Archilochus,3.09e-07
Archimedes,4.9e-06
Archimedes' principle,4.79e-08
Archimedes' screw,4.770000000000001e-08
Archipenko,1.0699999999999999e-07
Arctic,0.000107
Arctic Circle,8.230000000000001e-07
Arctic Ocean,8.830000000000001e-07
Arctic Zone,8.9e-07
Arctogaea,0.0
Arcturus,1.2599999999999998e-06
Ard,1.17e-05
Arden,1.23e-05
Ardennes,2.6300000000000002e-06
Areopagite,3.24e-07
Areopagus,5.37e-07
Arequipa,1.48e-06
Ares,1.23e-05
Aretino,3.63e-07
Arezzo,1.35e-06
Arg.,9.33e-06
Argand burner,2.9900000000000006e-09
Argand lamp,3.01e-09
Argenteuil,5.5e-07
Argentina,0.000166
Argentine,4.17e-05
Argive,4.1700000000000004e-07
Argo,9.77e-06
Argolis,2.57e-07
Argonaut,1.4499999999999999e-06
Argos,1.1e-05
